name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Ernst Niebur,Johns Hopkins University. Previously: California Institute of Technology; Universite de Lausanne,Ernst Niebur,Ernst Niebur,Ernst Niebur,Ernst Niebur,Ernst Niebur,Ernst Niebur
Haonan Yu,"Research Scientist, Horizon Robotics",Haonan Yu,Haonan Yu,Haonan Yu,Haonan Yu,Haonan Yu,Haonan Yu
Andrea Tacchetti,Research Scientist - DeepMind,Andrea Tacchetti,Andrea Tacchetti,Andrea Tacchetti,Andrea Tacchetti,Andrea Tacchetti,Andrea Tacchetti
Matthew Botvinick,"Director of Neuroscience Research, Team Lead in AI Research, DeepMind",Matthew Botvinick,Matthew Botvinick,Matthew Botvinick,Matthew Botvinick,Matthew Botvinick,Matthew Botvinick
Idan Segev,"Prof. of Computational Neuroscience, Hebrew University of Jerusalem",Idan Segev,Idan Segev,Idan Segev,Idan Segev,Idan Segev,Idan Segev
Grant Van Horn,Caltech,Grant Van Horn,Grant Van Horn,Grant Van Horn,Grant Van Horn,Grant Van Horn,Grant Van Horn
Giorgio Metta,"Scientific Director, Istituto Italiano di Tecnologia",Giorgio Metta,Giorgio Metta,Giorgio Metta,Giorgio Metta,Giorgio Metta,Giorgio Metta
Hanlin Tang,"Principal Scientist, Intel AI Lab",Hanlin Tang,Hanlin Tang,Hanlin Tang,Hanlin Tang,Hanlin Tang,Hanlin Tang
charles gross,"professor of psychology, princeton university",charles gross,charles gross,charles gross,charles gross,charles gross,charles gross
Laurent Itti,"Professor of Computer Science, University of Southern California",Laurent Itti,Laurent Itti,Laurent Itti,Laurent Itti,Laurent Itti,Laurent Itti
William T. Freeman,"Professor of Computer Science, MIT",William T. Freeman,William T. Freeman,William T. Freeman,William T. Freeman,William T. Freeman,William T. Freeman
David Alex Mély,"OpenAI - Formerly @ Google X, Vicarious, Brown University (PhD)",David Alex Mély,David Alex Mély,David Alex Mély,David Alex Mély,David Alex Mély,David Alex Mély
Pascal Fries,"Director, Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max Planck Society",Pascal Fries,Pascal Fries,Pascal Fries,Pascal Fries,Pascal Fries,Pascal Fries
Theodoros Evgeniou,INSEAD,Theodoros Evgeniou,Theodoros Evgeniou,Theodoros Evgeniou,Theodoros Evgeniou,Theodoros Evgeniou,Theodoros Evgeniou
Thilo Womelsdorf,"Vanderbilt University, Nashville",Thilo Womelsdorf,Thilo Womelsdorf,Thilo Womelsdorf,Thilo Womelsdorf,Thilo Womelsdorf,Thilo Womelsdorf
Shimon Edelman,"Professor of Psychology, Cornell University",Shimon Edelman,Shimon Edelman,Shimon Edelman,Shimon Edelman,Shimon Edelman,Shimon Edelman
Thomas Vetter,"Professor in Computer Science, University of Basel ",Thomas Vetter,Thomas Vetter,Thomas Vetter,Thomas Vetter,Thomas Vetter,Thomas Vetter
Peter Gorniak,Simon Fraser University,Peter Gorniak,Peter Gorniak,Peter Gorniak,Peter Gorniak,Peter Gorniak,Peter Gorniak
William Stanley Anderson,"Associate Professor of Neurosurgery, Johns Hopkins School of Medicine",William Stanley Anderson,William Stanley Anderson,William Stanley Anderson,William Stanley Anderson,William Stanley Anderson,William Stanley Anderson
Bang Cong Vu,"3NLab,  BeRC, Leuven, Belgium",Bang Cong Vu,Bang Cong Vu,Bang Cong Vu,Bang Cong Vu,Bang Cong Vu,Bang Cong Vu
Huei-han Jhuang,"Perceiving Systems, Max Planck Institute for Intelligent Systems",Huei-han Jhuang,Huei-han Jhuang,Huei-han Jhuang,Huei-han Jhuang,Huei-han Jhuang,Huei-han Jhuang
Rufin VanRullen,"Research Director, CNRS, CerCo, ANITI, TMBI, Univ. Toulouse",Rufin VanRullen,Rufin VanRullen,Rufin VanRullen,Rufin VanRullen,Rufin VanRullen,Rufin VanRullen
Matthew R. Walter,Toyota Technological Institute at Chicago,Matthew R. Walter,Matthew R. Walter,Matthew R. Walter,Matthew R. Walter,Matthew R. Walter,Matthew R. Walter
James J DiCarlo,Massachusetts Institute of Technology,James J DiCarlo,James J DiCarlo,James J DiCarlo,James J DiCarlo,James J DiCarlo,James J DiCarlo
Stefano Soatto,"Professor of Computer Science, UCLA",Stefano Soatto,Stefano Soatto,Stefano Soatto,Stefano Soatto,Stefano Soatto,Stefano Soatto
Vikash K. Mansinghka,"MIT, Probabilistic Computing Project",Vikash K. Mansinghka,Vikash K. Mansinghka,Vikash K. Mansinghka,Vikash K. Mansinghka,Vikash K. Mansinghka,Vikash K. Mansinghka
Pietro Perona,California Institute of Technology,Pietro Perona,Pietro Perona,Pietro Perona,Pietro Perona,Pietro Perona,Pietro Perona
Geoffrey Hinton,"Emeritus Prof. Comp Sci, U.Toronto & Engineering Fellow, Google",Geoffrey Hinton,Geoffrey Hinton,Geoffrey Hinton,Geoffrey Hinton,Geoffrey Hinton,Geoffrey Hinton
Nitish Srivastava,"Research Scientist, Apple",Nitish Srivastava,Nitish Srivastava,Nitish Srivastava,Nitish Srivastava,Nitish Srivastava,Nitish Srivastava
Zhilin Yang,Carnegie Mellon University,Zhilin Yang,Zhilin Yang,Zhilin Yang,Zhilin Yang,Zhilin Yang,Zhilin Yang
Richard Zemel,"Professor of Computer Science, University of Toronto",Richard Zemel,Richard Zemel,Richard Zemel,Richard Zemel,Richard Zemel,Richard Zemel
William W. Cohen,Google AI,William W. Cohen,William W. Cohen,William W. Cohen,William W. Cohen,William W. Cohen,William W. Cohen
Yao-Hung Hubert Tsai,Carnegie Mellon University PhD Student,Yao-Hung Hubert Tsai,Yao-Hung Hubert Tsai,Yao-Hung Hubert Tsai,Yao-Hung Hubert Tsai,Yao-Hung Hubert Tsai,Yao-Hung Hubert Tsai
Ilya Sutskever,Co-Founder and Chief Scientist of OpenAI,Ilya Sutskever,Ilya Sutskever,Ilya Sutskever,Ilya Sutskever,Ilya Sutskever,Ilya Sutskever
Yoshua Bengio,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",Yoshua Bengio,Yoshua Bengio,Yoshua Bengio,Yoshua Bengio,Yoshua Bengio,Yoshua Bengio
Jamie Kiros,"Co-Founder, Startup",Jamie Kiros,Jamie Kiros,Jamie Kiros,Jamie Kiros,Jamie Kiros,Jamie Kiros
Eric Xing,"President at Mohamed bin Zayed University of AI, Professor of Computer Science, Carnegie Mellon U",Eric Xing,Eric Xing,Eric Xing,Eric Xing,Eric Xing,Eric Xing
Jimmy Ba,University of Toronto,Jimmy Ba,Jimmy Ba,Jimmy Ba,Jimmy Ba,Jimmy Ba,Jimmy Ba
Devendra Singh Chaplot,"Carnegie Mellon University, Facebook AI Research",Devendra Singh Chaplot,Devendra Singh Chaplot,Devendra Singh Chaplot,Devendra Singh Chaplot,Devendra Singh Chaplot,Devendra Singh Chaplot
Kyunghyun Cho,New York University,Kyunghyun Cho,Kyunghyun Cho,Kyunghyun Cho,Kyunghyun Cho,Kyunghyun Cho,Kyunghyun Cho
Manzil Zaheer,Google Research,Manzil Zaheer,Manzil Zaheer,Manzil Zaheer,Manzil Zaheer,Manzil Zaheer,Manzil Zaheer
Zhiting Hu,Assistant Professor at UC San Diego,Zhiting Hu,Zhiting Hu,Zhiting Hu,Zhiting Hu,Zhiting Hu,Zhiting Hu
Emilio Parisotto,Carnegie Mellon University,Emilio Parisotto,Emilio Parisotto,Emilio Parisotto,Emilio Parisotto,Emilio Parisotto,Emilio Parisotto
Sam Roweis (Memorial),New York University,Sam Roweis (Memorial),Sam Roweis (Memorial),Sam Roweis (Memorial),Sam Roweis (Memorial),Sam Roweis (Memorial),Sam Roweis (Memorial)
Aaron Courville,Université de Montréal,Aaron Courville,Aaron Courville,Aaron Courville,Aaron Courville,Aaron Courville,Aaron Courville
luppino g,University of Parma,luppino g,luppino g,luppino g,luppino g,luppino g,luppino g
elena borra,Università di Parma,elena borra,elena borra,elena borra,elena borra,elena borra,elena borra
Panagiotis Sapountzis,"Institute of Applied and Computational Mathematics, Foundation for Research and Technology, Hellas",Panagiotis Sapountzis,Panagiotis Sapountzis,Panagiotis Sapountzis,Panagiotis Sapountzis,Panagiotis Sapountzis,Panagiotis Sapountzis
Konstantinos Hadjidimitrakis,University of Bologna,Konstantinos Hadjidimitrakis,Konstantinos Hadjidimitrakis,Konstantinos Hadjidimitrakis,Konstantinos Hadjidimitrakis,Konstantinos Hadjidimitrakis,Konstantinos Hadjidimitrakis
Vassilis Raos,Professor of Physiology,Vassilis Raos,Vassilis Raos,Vassilis Raos,Vassilis Raos,Vassilis Raos,Vassilis Raos
Mark A Kramer,Boston University,Mark A Kramer,Mark A Kramer,Mark A Kramer,Mark A Kramer,Mark A Kramer,Mark A Kramer
Uri Eden,Boston University,Uri Eden,Uri Eden,Uri Eden,Uri Eden,Uri Eden,Uri Eden
Mikio Aoi,"Assistant Professor, UCSD Neurobiology & Halıcıoğlu Data Science Institute",Mikio Aoi,Mikio Aoi,Mikio Aoi,Mikio Aoi,Mikio Aoi,Mikio Aoi
Ornella Mich,Fondazione Bruno Kessler,Ornella Mich,Ornella Mich,Ornella Mich,Ornella Mich,Ornella Mich,Ornella Mich
Daniele Giuseppe Falavigna,researcher Fondazione Bruno Kessler,Daniele Giuseppe Falavigna,Daniele Giuseppe Falavigna,Daniele Giuseppe Falavigna,Daniele Giuseppe Falavigna,Daniele Giuseppe Falavigna,Daniele Giuseppe Falavigna
Massimo Zancanaro,University of Trento and Fondazione Bruno Kessler - FBK,Massimo Zancanaro,Massimo Zancanaro,Massimo Zancanaro,Massimo Zancanaro,Massimo Zancanaro,Massimo Zancanaro
Simonetta Montemagni,"Director of Research, Istituto di Linguistica Computazionale (ILC-CNR)",Simonetta Montemagni,Simonetta Montemagni,Simonetta Montemagni,Simonetta Montemagni,Simonetta Montemagni,Simonetta Montemagni
Piergiorgio Svaizer,"Researcher, Fondazione Bruno Kessler, Trento",Piergiorgio Svaizer,Piergiorgio Svaizer,Piergiorgio Svaizer,Piergiorgio Svaizer,Piergiorgio Svaizer,Piergiorgio Svaizer
Rainer Stiefelhagen,"Karlsruhe Institute of Technology, Karlsruhe, Germany",Rainer Stiefelhagen,Rainer Stiefelhagen,Rainer Stiefelhagen,Rainer Stiefelhagen,Rainer Stiefelhagen,Rainer Stiefelhagen
Diego Viesi,"Researcher, Fondazione Bruno Kessler (Trento, Italy)",Diego Viesi,Diego Viesi,Diego Viesi,Diego Viesi,Diego Viesi,Diego Viesi
Silvio Traversaro,Fondazione Istituto Italiano di Tecnologia,Silvio Traversaro,Silvio Traversaro,Silvio Traversaro,Silvio Traversaro,Silvio Traversaro,Silvio Traversaro
Daniele Pucci,Fondazione Istituto Italiano di Tecnologia,Daniele Pucci,Daniele Pucci,Daniele Pucci,Daniele Pucci,Daniele Pucci,Daniele Pucci
Diego Ferigo,"PhD Fellow, Istituto Italiano di Tecnologia & The University of Manchester",Diego Ferigo,Diego Ferigo,Diego Ferigo,Diego Ferigo,Diego Ferigo,Diego Ferigo
Alessandro Chiuso,"Professor of Automatic Control, University of Padova",Alessandro Chiuso,Alessandro Chiuso,Alessandro Chiuso,Alessandro Chiuso,Alessandro Chiuso,Alessandro Chiuso
Zorzi Mattia,Università degli studi di Padova,Zorzi Mattia,Zorzi Mattia,Zorzi Mattia,Zorzi Mattia,Zorzi Mattia,Zorzi Mattia
Diego Romeres,Principal Research Scientist at Mitsubishi Electric Research Laboratories,Diego Romeres,Diego Romeres,Diego Romeres,Diego Romeres,Diego Romeres,Diego Romeres
Daniele Calandriello,"Research Scientist, DeepMind",Daniele Calandriello,Daniele Calandriello,Daniele Calandriello,Daniele Calandriello,Daniele Calandriello,Daniele Calandriello
Junhong Lin,Zhejiang University,Junhong Lin,Junhong Lin,Junhong Lin,Junhong Lin,Junhong Lin,Junhong Lin
Francesco Nori,"Head of the robotics lab, Deepmind",Francesco Nori,Francesco Nori,Francesco Nori,Francesco Nori,Francesco Nori,Francesco Nori
Pietro Michiardi,EURECOM,Pietro Michiardi,Pietro Michiardi,Pietro Michiardi,Pietro Michiardi,Pietro Michiardi,Pietro Michiardi
Maurizio Filippone,Associate Professor - EURECOM,Maurizio Filippone,Maurizio Filippone,Maurizio Filippone,Maurizio Filippone,Maurizio Filippone,Maurizio Filippone
Dimitrios Milios,"Post Doctoral Fellow, EURECOM",Dimitrios Milios,Dimitrios Milios,Dimitrios Milios,Dimitrios Milios,Dimitrios Milios,Dimitrios Milios
Tomás Angles,Unknown affiliation,Tomás Angles,Tomás Angles,Tomás Angles,Tomás Angles,Tomás Angles,Tomás Angles
Yanlong Huang,University of Leeds,Yanlong Huang,Yanlong Huang,Yanlong Huang,Yanlong Huang,Yanlong Huang,Yanlong Huang
Eric Nauman,Purdue University,Eric Nauman,Eric Nauman,Eric Nauman,Eric Nauman,Eric Nauman,Eric Nauman
"Evan L. Breedlove, Ph.D.",3M,"Evan L. Breedlove, Ph.D.","Evan L. Breedlove, Ph.D.","Evan L. Breedlove, Ph.D.","Evan L. Breedlove, Ph.D.","Evan L. Breedlove, Ph.D.","Evan L. Breedlove, Ph.D."
Mario Dzemidzic,"Associate Research Professor of Neurology, Indiana University School of Medicine",Mario Dzemidzic,Mario Dzemidzic,Mario Dzemidzic,Mario Dzemidzic,Mario Dzemidzic,Mario Dzemidzic
Meghan Robinson,"Technical Director, Center for Advanced MRI, Baylor College of Medicine",Meghan Robinson,Meghan Robinson,Meghan Robinson,Meghan Robinson,Meghan Robinson,Meghan Robinson
Bruce Rosen,MGH/HST Athinoula A. Martinos Center for Biomedical Imaging,Bruce Rosen,Bruce Rosen,Bruce Rosen,Bruce Rosen,Bruce Rosen,Bruce Rosen
Victoria N. Poole,Rush University Medical Center,Victoria N. Poole,Victoria N. Poole,Victoria N. Poole,Victoria N. Poole,Victoria N. Poole,Victoria N. Poole
Kausar Abbas,"Postdoctoral Research Assistant, CONNplexity Lab, Purdue University",Kausar Abbas,Kausar Abbas,Kausar Abbas,Kausar Abbas,Kausar Abbas,Kausar Abbas
Diana Otero Svaldi,Eli Lilly and Company,Diana Otero Svaldi,Diana Otero Svaldi,Diana Otero Svaldi,Diana Otero Svaldi,Diana Otero Svaldi,Diana Otero Svaldi
Mark Lowe,Cleveland Clinic,Mark Lowe,Mark Lowe,Mark Lowe,Mark Lowe,Mark Lowe,Mark Lowe
David Kareken,Indiana University,David Kareken,David Kareken,David Kareken,David Kareken,David Kareken,David Kareken
Hans Breiter,"Director, MGH Phenotype Genotype Project in Addiction and Mood Disorders",Hans Breiter,Hans Breiter,Hans Breiter,Hans Breiter,Hans Breiter,Hans Breiter
Javier Gonzalez-Castillo,"Senior Associate Scientist, Section on Functional Imaging Methods, NIMH, NIH",Javier Gonzalez-Castillo,Javier Gonzalez-Castillo,Javier Gonzalez-Castillo,Javier Gonzalez-Castillo,Javier Gonzalez-Castillo,Javier Gonzalez-Castillo
Katherine Breedlove,Brigham and Women's Hospital,Katherine Breedlove,Katherine Breedlove,Katherine Breedlove,Katherine Breedlove,Katherine Breedlove,Katherine Breedlove
Semyon Slobounov,Professor of Kinesiology,Semyon Slobounov,Semyon Slobounov,Semyon Slobounov,Semyon Slobounov,Semyon Slobounov,Semyon Slobounov
"Nicole Vike, Ph.D.","Postdoc, Northwestern University - Feinberg School of Medicine","Nicole Vike, Ph.D.","Nicole Vike, Ph.D.","Nicole Vike, Ph.D.","Nicole Vike, Ph.D.","Nicole Vike, Ph.D.","Nicole Vike, Ph.D."
Alexa Walter,"Postdoctoral Fellow, University of Pennsylvania",Alexa Walter,Alexa Walter,Alexa Walter,Alexa Walter,Alexa Walter,Alexa Walter
Sumra Bari,Post-Doctoral Research Fellow at Northwestern University/ Purdue University,Sumra Bari,Sumra Bari,Sumra Bari,Sumra Bari,Sumra Bari,Sumra Bari
Il Yong Chun,"Assistant Professor in EEE, Sungkyunkwan University",Il Yong Chun,Il Yong Chun,Il Yong Chun,Il Yong Chun,Il Yong Chun,Il Yong Chun
Ikbeom Jang,Massachusetts General Hospital/Harvard Medical School,Ikbeom Jang,Ikbeom Jang,Ikbeom Jang,Ikbeom Jang,Ikbeom Jang,Ikbeom Jang
Joseph Rispoli,"Weldon School of Biomedical Engineering, Purdue University",Joseph Rispoli,Joseph Rispoli,Joseph Rispoli,Joseph Rispoli,Joseph Rispoli,Joseph Rispoli
John R Frank,"MIT, Diffeo, Salesforce",John R Frank,John R Frank,John R Frank,John R Frank,John R Frank,John R Frank
Sydney Levine,"Postdoctoral Associate, Harvard & MIT",Sydney Levine,Sydney Levine,Sydney Levine,Sydney Levine,Sydney Levine,Sydney Levine
Iyad Rahwan,"Center for Humans & Machines, Max Planck Institute for Human Development",Iyad Rahwan,Iyad Rahwan,Iyad Rahwan,Iyad Rahwan,Iyad Rahwan,Iyad Rahwan
Michael Littman,Brown University,Michael Littman,Michael Littman,Michael Littman,Michael Littman,Michael Littman,Michael Littman
David C. Parkes,"George F. Colony Professor of Computer Science, Harvard University",David C. Parkes,David C. Parkes,David C. Parkes,David C. Parkes,David C. Parkes,David C. Parkes
John Huguenard,"Professor of Neurology, Stanford University",John Huguenard,John Huguenard,John Huguenard,John Huguenard,John Huguenard,John Huguenard
Fiery Cushman,"Psychology, Harvard University",Fiery Cushman,Fiery Cushman,Fiery Cushman,Fiery Cushman,Fiery Cushman,Fiery Cushman
DJ Strouse,"Senior Research Scientist, DeepMind",DJ Strouse,DJ Strouse,DJ Strouse,DJ Strouse,DJ Strouse,DJ Strouse
Joseph Halpern,"Professor of Computer Science, Cornell University",Joseph Halpern,Joseph Halpern,Joseph Halpern,Joseph Halpern,Joseph Halpern,Joseph Halpern
Alex Shaw,University of Chicago,Alex Shaw,Alex Shaw,Alex Shaw,Alex Shaw,Alex Shaw,Alex Shaw
Scott Rozelle,"Senior Fellow, Freeman Spogli Institute, Stanford University",Scott Rozelle,Scott Rozelle,Scott Rozelle,Scott Rozelle,Scott Rozelle,Scott Rozelle
Andrea Califano,Columbia ,Andrea Califano,Andrea Califano,Andrea Califano,Andrea Califano,Andrea Califano,Andrea Califano
Scott L. Pomeroy,"Bronson Crothers Professor of Neurology, Harvard Medical School",Scott L. Pomeroy,Scott L. Pomeroy,Scott L. Pomeroy,Scott L. Pomeroy,Scott L. Pomeroy,Scott L. Pomeroy
Aldebaro Klautau,"Professor of Electrical and Computer Engineering, UFPA (Federal University of Para), Brazil",Aldebaro Klautau,Aldebaro Klautau,Aldebaro Klautau,Aldebaro Klautau,Aldebaro Klautau,Aldebaro Klautau
Gene Yeo PhD MBA,Professor of Cellular and Molecular Medicine at UC San Diego,Gene Yeo PhD MBA,Gene Yeo PhD MBA,Gene Yeo PhD MBA,Gene Yeo PhD MBA,Gene Yeo PhD MBA,Gene Yeo PhD MBA
Jake Bouvrie,"Research Affiliate, McGovern Institute for Brain Research, Massachusetts Institute of Technology",Jake Bouvrie,Jake Bouvrie,Jake Bouvrie,Jake Bouvrie,Jake Bouvrie,Jake Bouvrie
Jason Rennie,"Software Engieer, Google",Jason Rennie,Jason Rennie,Jason Rennie,Jason Rennie,Jason Rennie,Jason Rennie
James Glass,MIT Computer Science and Artificial Intelligence Laboratory,James Glass,James Glass,James Glass,James Glass,James Glass,James Glass
Brian Whitman,CTO of The Echo Nest,Brian Whitman,Brian Whitman,Brian Whitman,Brian Whitman,Brian Whitman,Brian Whitman
Sharat Chikkerur,Google,Sharat Chikkerur,Sharat Chikkerur,Sharat Chikkerur,Sharat Chikkerur,Sharat Chikkerur,Sharat Chikkerur
Michael Zibulevsky,"Adjunct Professor of Computer Science, Technion - Israel Institute of Technology",Michael Zibulevsky,Michael Zibulevsky,Michael Zibulevsky,Michael Zibulevsky,Michael Zibulevsky,Michael Zibulevsky
Atılım Güneş Baydin,University of Oxford,Atılım Güneş Baydin,Atılım Güneş Baydin,Atılım Güneş Baydin,Atılım Güneş Baydin,Atılım Güneş Baydin,Atılım Güneş Baydin
Lucas C. Parra,"Professor of Biomedical Engineering, City College of New York, CUNY",Lucas C. Parra,Lucas C. Parra,Lucas C. Parra,Lucas C. Parra,Lucas C. Parra,Lucas C. Parra
Stephanie Forrest,"Professor of Computer Science, Univ. of New Mexico",Stephanie Forrest,Stephanie Forrest,Stephanie Forrest,Stephanie Forrest,Stephanie Forrest,Stephanie Forrest
Akaysha C. Tang,"Professor, The University of Hong Kong",Akaysha C. Tang,Akaysha C. Tang,Akaysha C. Tang,Akaysha C. Tang,Akaysha C. Tang,Akaysha C. Tang
Anthony Zador,"Professor of Biology, CSHL",Anthony Zador,Anthony Zador,Anthony Zador,Anthony Zador,Anthony Zador,Anthony Zador
Charles Markham,Maynooth University,Charles Markham,Charles Markham,Charles Markham,Charles Markham,Charles Markham,Charles Markham
Vamsi Krishna Potluru,Researcher,Vamsi Krishna Potluru,Vamsi Krishna Potluru,Vamsi Krishna Potluru,Vamsi Krishna Potluru,Vamsi Krishna Potluru,Vamsi Krishna Potluru
Edmund C Lalor,"Associate Professor of Biomedical Engineering & Neuroscience, University of Rochester",Edmund C Lalor,Edmund C Lalor,Edmund C Lalor,Edmund C Lalor,Edmund C Lalor,Edmund C Lalor
Tomas Ward,"Insight SFI Research Centre for Data Analytics, Dublin City University",Tomas Ward,Tomas Ward,Tomas Ward,Tomas Ward,Tomas Ward,Tomas Ward
John J. Foxe,"Kilian & Caroline Schmitt Chair, Dept. of Neuroscience, University of Rochester School of Medicine",John J. Foxe,John J. Foxe,John J. Foxe,John J. Foxe,John J. Foxe,John J. Foxe
Sung Chan Jun,"School of EECS, Gwangju Institute of Science and Technology",Sung Chan Jun,Sung Chan Jun,Sung Chan Jun,Sung Chan Jun,Sung Chan Jun,Sung Chan Jun
Vince D. Calhoun,Director-Translational Research in Neuroimaging and Data Science (TReNDS;GSU/GAtech/Emory),Vince D. Calhoun,Vince D. Calhoun,Vince D. Calhoun,Vince D. Calhoun,Vince D. Calhoun,Vince D. Calhoun
Richard B. Reilly,Trinity College Dublin,Richard B. Reilly,Richard B. Reilly,Richard B. Reilly,Richard B. Reilly,Richard B. Reilly,Richard B. Reilly
Paul Sajda,Columbia University,Paul Sajda,Paul Sajda,Paul Sajda,Paul Sajda,Paul Sajda,Paul Sajda
Christopher V. Alvino,Netflix,Christopher V. Alvino,Christopher V. Alvino,Christopher V. Alvino,Christopher V. Alvino,Christopher V. Alvino,Christopher V. Alvino
Ken Goldberg,"Professor, UC Berkeley and UCSF",Ken Goldberg,Ken Goldberg,Ken Goldberg,Ken Goldberg,Ken Goldberg,Ken Goldberg
Santiago Jaramillo,University of Oregon,Santiago Jaramillo,Santiago Jaramillo,Santiago Jaramillo,Santiago Jaramillo,Santiago Jaramillo,Santiago Jaramillo
Scott Rickard,"Chief Data Scientist, Citadel (formerly University College Dublin)",Scott Rickard,Scott Rickard,Scott Rickard,Scott Rickard,Scott Rickard,Scott Rickard
